Chemical_Substance,HF298 (kJ/mol),Uncertainty (kJ/mol),Coefficient_1 (High-temperature; T in Kelvin),Coefficient_2 (High-temperature; T in Kelvin),Coefficient_3 (High-temperature; T in Kelvin),Coefficient_4 (High-temperature; T in Kelvin),Coefficient_5 (High-temperature; T in Kelvin),Coefficient_6 (High-temperature; T in Kelvin),Coefficient_7 (High-temperature; T in Kelvin),Coefficient_1 (Low-temperature; T in Kelvin),Coefficient_2 (Low-temperature; T in Kelvin),Coefficient_3 (Low-temperature; T in Kelvin),Coefficient_4 (Low-temperature; T in Kelvin),Coefficient_5 (Low-temperature; T in Kelvin),Coefficient_6 (Low-temperature; T in Kelvin),Coefficient_7 (Low-temperature; T in Kelvin),Reference_Code,References,References_for_Additional_Information
Al,329.7,4.2 ,2.53385701E+00,-4.65859492E-05,2.82798048E-08,-8.54362013E-12,1.02207983E-15,3.89045662E+04,5.37984179E+00,3.11112433E+00,-3.59382310E-03,8.14749313E-06,-8.08808966E-09,2.93132463E-12,3.88283390E+04,2.84045730E+00,J,JANAF,No Additional Information Provided
AlH,259.4,20 ,3.33668980E+00,1.28778640E-03,-4.98699410E-07,9.22946330E-11,-6.34516940E-15,3.00917610E+04,3.09548828E+00,3.65768570E+00,-1.97446980E-03,6.86633980E-06,-6.20414040E-09,1.86631030E-12,3.01464580E+04,2.08851108E+00,J,JANAF,No Additional Information Provided
AlO,66.9,8 ,3.31390640E+00,1.04524210E-03,2.74855330E-07,-1.79286060E-10,1.99878130E-14,7.09433360E+03,7.20963426E+00,2.81161030E+00,3.95842610E-03,-3.36953040E-06,6.73304970E-10,4.00894550E-13,7.06550370E+03,9.20895756E+00,J,JANAF,No Additional Information Provided
AlHO,-179.9, 13 ,3.68606740E+00,3.36368220E-03,-1.24662440E-06,2.13822050E-10,-1.38983190E-14,-2.30461050E+04,3.69015562E+00,2.61322110E+00,2.77168940E-03,7.41578300E-06,-1.13546020E-08,4.55695590E-12,-2.25867970E+04,1.00753303E+01,J,JANAF,No Additional Information Provided
AlO2,-86.19,32 ,6.60646410E+00,1.08022520E-03,-5.22293440E-07,1.13242200E-10,-8.52909680E-15,-1.25324320E+04,-8.01717584E+00,3.25451480E+00,1.42758440E-02,-2.11032480E-05,1.50562590E-08,-4.21426140E-12,-1.18125820E+04,8.30255496E+00,J,JANAF,No Additional Information Provided
AlHO2,-460.0,63 ,6.42643460E+00,3.22303620E-03,-1.21393480E-06,2.10745000E-10,-1.38280000E-14,-5.76261540E+04,-7.45759253E+00,2.48004560E+00,1.61492640E-02,-1.60335240E-05,6.44661660E-09,-4.09947690E-13,-5.66827590E+04,1.23070710E+01,J,JANAF,No Additional Information Provided
Al2O,-145.2,17 ,6.77206270E+00,8.25500920E-04,-3.62910010E-07,6.95313000E-11,-4.73452110E-15,-1.96431970E+04,-8.77233125E+00,4.07326560E+00,1.13076130E-02,-1.65651620E-05,1.17842840E-08,-3.30055030E-12,-1.90542300E+04,4.40834835E+00,J,JANAF,No Additional Information Provided
Al2O2,-394.6, 32 ,9.15909760E+00,9.68539270E-04,-4.32585130E-07,8.51788400E-11,-6.16153700E-15,-5.04280590E+04,-1.91564680E+01,2.75964110E+00,2.99975990E-02,-5.21904970E-05,4.22826860E-08,-1.30753600E-11,-4.92260320E+04,1.11007720E+01,J,JANAF,No Additional Information Provided
Al2O3,-546.9,NaN,1.17994008E+01,1.76967069E-03,-7.04350190E-07,1.22091430E-10,-7.69101328E-15,-6.97015909E+04,-3.04301080E+01,5.63511151E+00,2.44249707E-02,-3.39640439E-05,2.31585910E-08,-6.27550763E-12,-6.82839486E+04,1.39618674E-02,T,NASA (GLEN) DATABASE ORIGINAL DATA FROM GURVICH 1996.,No Additional Information Provided
Ar,0.0,NaN,0.25000000E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,-0.74537500E+03,0.43796749E+01,0.25000000E+01,0.00000000E+00,0.00000000E+00,0.00000000E+00,0.00000000E+00,-0.74537500E+03,0.43796749E+01,L,"C.E. MOORE ""ATOMIC ENERGY LEVELS"" NSRDS-NBS 35 (1971) P.211",No Additional Information Provided
